Esrrb	Fgf4
Smad1	Dpysl2
Pou5f1	Nr0b1
Fzd1	Dvl1
Nanog	Pax6
Tpo	Mpl
Pou5f1	Zfp42
Rif1	Nr5a2
Pou5f1	P4ha1
Pou5f1	Dnmt3l
Bmyc	Pou5f1
Nanog	Pim1
Hif1a	Lifr
Ctnnb1	Pou5f1
Atrx	H3f3a
Wwp2	Pou5f1
Gadd45gip1	Stat3
Sox2	Tle4
Cdk2ap1	Cdk2
Zfp281	Pou5f1
Pik3cd	Gsk3b
Zfp281	Sox2
Tcf7	Pou5f1
Pou5f1	Sall1
Dnmt3l	Dnmt3b
Sall4	Hdac1
Nanog	Smad7
Mtf2	Rbbp7
Ctnnb1	Tcf3
Pou5f1	Ogt
Casp3	Nanog
Uhrf1	Dnmt3b
Eed	Ezh2
Zfx	Tbx3
Pou5f1	Smarca4
Klf4	Esrrb
Paf1	Nanog
Paf1	Pou5f1
Inhbb	Acvr1b
Sox2	Lefty1
Il6st	Ptpn11
Pou5f1	Phf17
Ehmt2	Nanog
Pou5f1	Trim33
Ep300	Klf4
Ehmt2	Pou5f1
Jarid2	Suz12
Akt1	Raf1
Etv5	Rybp
Cdkn2a	Mdm2
Sos1	Hras1
Tcf3	Dnmt3a
Nanog	Pml
Esrrb	Fos
Rbbp7	Suz12
Pou5f1	Tsix
Pou5f1	Trim24
Hdac1	Myc
Cdx2	Nr6a1
Ins1	Insr
Ipo9	Sox2
Pou5f1	Smarcc1
Sox2	Dppa4
Kdm6a	Mll2
Dnmt3a	Nr6a1
Eras	Pik3cd
Dnmt3l	Dnmt3a
Trim28	Smarcad1
Wdr61	Leo1
Pou5f1	Sall1
Myc	Klf4
Sox2	Rbpj
Acvr1b	Smad3
Jarid2	Ezh2
Myc	Pou5f1
Gab1	Pik3cd
Stat3	Pou5f1
Nr5a2	Mycn
Pou5f1	Xist
Stat3	Nanog
Nanog	Kat5
Dvl1	Gsk3b
Nme2	Myc
Stat3	Sox2
Sall4	Myc
Myod1	Mef2d
Mta2	Nanog
Mta2	Pou5f1
Nanog	Xist
Nanog	Sall1
Nobox	Gdf9
Nanog	Etv5
Nanog	Tle4
Nanog	Mtf2
Pou5f1	Cdkn1a
Setdb1	Tcfap2a
Pou5f1	Trim28
Ehmt2	Dnmt3l
Stat3	Myc
Pou5f1	Mtf2
Pou5f1	Tle4
Etv5	Sall1
Hdac1	Trim28
Klf4	Lefty1
Dnmt1	Dnmt3b
Pou5f1	Hdac4
Smad1	Id1
Pou5f1	Rcor2
Grb2	Gab1
Rbbp7	Ezh2
Rbl2	Dnmt3a
Mybl2	Pou5f1
Tcf3	Dnmt3b
Myod1	Sp1
Pou5f1	Sall4
Mapk3	Hif1a
Sox2	Rif1
Xpo4	Sox2
Nanog	Rbpj
Pias2	Stat3
Suz12	Tbx3
Ctr9	Wdr61
Pou5f1	Chd4
Yy1	Ctcf
Itgb1	Notch1
Sox2	Zfp42
Nanog	Phc1
Sox2	Xite
Pou5f1	Pou5f1
Gsk3b	Ctnnb1
Lrp5	Fzd1
Pou5f1	Nanog
Pou5f1	Sox2
Pou5f1	Trp53
Nanog	Rybp
Socs1	Jak1
Sox2	Fos
Twist1	Nfkb1
Lifr	Ptpn11
Zmym2	Nanog
Fos	Stat3
Ctr9	Tcl1
Sox2	Sall1
Prkaca	Pou5f1
Ctbp1	Tcf3
Acvr1c	Smad2
Ewsr1	Pou5f1
Pou5f1	Ppp2r1a
Myc	Sox2
Hdac1	Nanog
Hdac1	Pou5f1
Klf4	Nanog
Klf4	Pou5f1
Esrrb	Sall1
Dffa	Cad
Tert	Ctnnb1
Klf4	Sox2
Acvr1	Smad1
Pou5f1	Zic3
Hdac1	Cdkn1a
Gata6	Nanog
Zscan10	Nanog
Zscan10	Pou5f1
Stat3	Ccnd1
Zscan10	Klf4
Zscan10	Sox2
Stat3	Sall4
Nppb	Npr1
Nanog	Sgk1
Nanog	Rel
Sox2	Pou2f1
Raf1	Map2k1
Pou5f1	Cdx2
Trp53	Klf4
Gadd45a	Trp53
Mbd3	Hdac1
Cdc73	Leo1
Sox2	Nr2f2
Nr5a2	Pou5f1
Hdac2	Klf5
Klf4	Trp53
Pou5f1	Kdm3a
Mapk1	Smad1
Pou5f1	Ctcf
Ep300	Myc
Nanog	Zic3
Gsk3b	Trp53
Pou5f1	Xite
Tcf3	Pou5f1
Tcf3	Nanog
Foxd3	Nanog
Esrrb	Etv5
Sall4	Hdac2
Rras	Itgb1
Stat3	Kdm3a
Ctr9	Esrrb
Zscan10	Zscan10
Pou5f1	Tcf7
Pou5f1	Mitf
Nr6a1	Nanog
Stk40	Rcn2
Nr6a1	Pou5f1
Tcf3	Stat3
Tcf3	Ccnd1
Pou5f1	Eed
Pou5f1	Dppa4
Sox2	Pax6
Klf5	Fgf5
Rnf2	Pou5f1
Stat3	Pim1
Sox2	Tcfap2c
Myod1	Ep300
Ctr9	Paf1
Lifr	Il6st
Ehmt1	Ehmt2
Sox2	Otx2
Nanog	Smarca4
Nanog	Ocln
Tcf3	Myc
Pou5f1	Klf4
Tcf3	Lef1
Zfp143	Nanog
Zfp143	Pou5f1
Nanog	Sin3a
Ube2i	Pou5f1
Sox2	Xist
Ppp2r1a	Nkd1
Nanog	Smarca2
Pou5f1	Tcfeb
Klf4	Smarca4
Tgfbr1	Smad3
Nr5a2	Zfp219
Ptprs	Fgfr1
Pou5f1	Kpna2
Wdr61	Cdc73
Mbd3	Mta1
Nr5a2	Myc
Nr5a2	Sall1
Klf2	Nanog
Mtf2	Eed
Mtf2	Suz12
Setdb1	Cdx2
Map2k1	Mapk3
Nanog	Klf4
Pou5f1	Kdm4c
Mbd3	Cdk2ap1
Nanog	Tcfap2c
Nr0b1	Pou5f1
Zic3	Nanog
Stat3	Klf5
Sall4	Nanog
Sall4	Pou5f1
Tcf3	Tcf3
Gatad2a	Pou5f1
Tcf3	Tbx3
Kpnb1	Sox2
Stat3	Wnt5a
Hras1	Itgb1
Gatad2a	Nanog
Pou5f1	Pax6
Zscan10	Kdm5c
Zfp219	Pou5f1
Pou5f1	Arid3b
Pou5f1	Dnmt3a
Fgf4	Fgfr1
Mbd3	Mta2
Smad1	Nanog
Notch1	Rras
Sp1	Pou5f1
Nr5a2	Nanog
Sp1	Nanog
Cdh1	Ctnnb1
Sall4	Pten
Nanog	Nanog
Zfp281	Nanog
Pou5f1	Cabin1
Nanog	Pou5f1
Tcf3	Sox2
Pou5f1	Rcor2
Stat3	Smad7
Smad1	Smad4
Gadd45a	Ercc5
Notch1	Itgb1
Pou5f1	Atf2
Mapk1	Myc
Tcfcp2l1	Klf4
Insr	Irs1
Rbbp7	Rbbp4
Nr6a1	Sox2
Pou5f1	Ddb1
Ipo7	Kpnb1
Sp3	Nanog
Nanog	Zfp42
Setdb1	Pou5f1
Hif1a	Lef1
Nanog	Kdm1a
Terf2	Rif1
Klf4	Myc
Thap11	Thap11
Nanog	Stat3
Nanog	Sall4
Ep300	Nanog
Gsk3b	Myc
Sall1	Sall4
Nr2f2	Pou5f1
Acvr1b	Smad2
Tgfb1	Acvr1b
Esrrb	Rybp
Chd4	Sall4
Klf4	Fgf5
Ptpn11	Pik3cd
Ptpn11	Map2k1
Tcf7	Sall1
Nr5a2	Klf2
Sox2	Rcor2
Klf2	Esrrb
Pou5f1	Sall3
Zscan10	Klf5
Paf1	Sox2
Hras1	Raf1
Notch1	Rbpj
Sox2	Fgf4
Ep300	Ccnd1
Pou5f1	Creb1
Pou5f1	Zic2
Ep300	Stat3
Hif1a	Notch1
Stat3	Icam1
Rybp	Pou5f1
Nanog	Cdx2
Pou5f1	Fos
Stat3	Klf4
Trim28	Crebbp
Cad	Cdkn1a
Hras1	Pik3cd
